accession_number,alternate_accession_number,image_file,title,record_type,status,collection_name,location,historical_theme,neighborhood,time_period,people,donor,object_date,format_material,condition,rights_status,sensitivity,is_public,photo_credit,description,significance,provenance,notes,tags,
SRM-2026-635,,coll599.png,"Portrait of Edward Henry, undated",Photograph,Needs Review,Dr. S. D. Redmond Collection,,Portraiture and Community Memory,Geographies To Be Confirmed,20th century,Edward Henry,,undated,colorized portrait photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Formal portrait labeled Edward Henry.,Preserves named portraiture and contributes to family and community identification work.,"Imported from the Dr S D Redmond folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/Dr S D Redmond/47.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026.",Edward Henry; portrait,
SRM-2026-636,,coll600.png,"LHS class composite, Class of 1929",Photograph,Needs Review,Dr. S. D. Redmond Collection,,African American Education,Geographies To Be Confirmed,1920s,LHS Class of 1929,,1929,class composite photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,"Composite class photograph labeled LHS, Class of 1929, with the motto “Think and Conquer.”",Documents Black student achievement and commemorative school portraiture in the late 1920s.,"Imported from the Dr S D Redmond folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/Dr S D Redmond/48.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026.",LHS; class of 1929; school composite; education,
SRM-2026-637,,coll601.png,"Jackson College teacher-training sophomores group photograph under Dr. B. B. Dansby, undated",Photograph,Needs Review,Dr. S. D. Redmond Collection,,African American Education,"Jackson, Mississippi",20th century,Jackson College sophomores; B. B. Dansby,,undated,group photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,"Group photograph of Jackson College sophomores in teacher training, with verso note referencing Mr. McCune and Dr. B. B. Dansby.","Connects teacher training, Black higher education, and the Dansby era at Jackson College.","Imported from the Dr S D Redmond folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/Dr S D Redmond/49.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026.",Jackson College; teacher training; B. B. Dansby; sophomores,
SRM-2026-638,,coll602.png,"Manual for Midwives page titled “Traveling to the Midwife Meeting,” undated",Archive,Needs Review,Dr. S. D. Redmond Collection,,Midwives and Motherhood,Mississippi,20th century,midwives; public health nurses,,undated,printed manual page,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Page from a Manual for Midwives describing the aims of the manual and showing an image captioned “Traveling to the Midwife Meeting.”,"Directly supports interpretation of Black maternal care, public health education, and midwifery practice in Mississippi.","Imported from the Dr S D Redmond folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/Dr S D Redmond/50.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026.",midwives; manual; public health; childbirth; Mississippi,
SRM-2026-639,,coll603.png,"Physician’s birth certificate data for Carlyn Evelyn Baker, March 24, 1943",Archive,Needs Review,Dr. S. D. Redmond Collection,,Midwives and Motherhood,"Jackson, Mississippi",1940s,Carlyn Evelyn Baker; Barbara Willis; Milton Baker,,1943-03-24,birth certificate data form,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,"Photographic reproduction of a physician’s birth certificate data form for Carlyn Evelyn Baker, born March 24, 1943 in Jackson.","Documents birth registration, maternal data, and public-health recordkeeping in mid-century Mississippi.","Imported from the Dr S D Redmond folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/Dr S D Redmond/51.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026.",birth certificate; Carlyn Evelyn Baker; Barbara Willis; Milton Baker; childbirth,
SRM-2026-640,,coll604.png,"Duplicate photographic copy of physician’s birth certificate data for Carlyn Evelyn Baker, March 24, 1943",Archive,Needs Review,Dr. S. D. Redmond Collection,,Midwives and Motherhood,"Jackson, Mississippi",1940s,Carlyn Evelyn Baker; Barbara Willis; Milton Baker,,1943-03-24,birth certificate data form copy,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Second photographic copy of the physician’s birth certificate data form for Carlyn Evelyn Baker.,Retains a duplicate image of a birth-registration document and may help preserve legibility where one copy is damaged or cropped.,"Imported from the Dr S D Redmond folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/Dr S D Redmond/52.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026.",birth certificate; duplicate copy; Carlyn Evelyn Baker; childbirth,
SRM-2026-641,,coll605.png,"Perkins family portrait, 1960",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Family And Local Life,Geographies To Be Confirmed,1960s,John M. Perkins; Vera Mae Perkins; Perkins family,,1960,studio portrait photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,"Studio family portrait labeled ""Perkins Family 1960,"" showing John and Vera Mae Perkins with their children.",Documents family memory and the domestic life surrounding John and Vera Mae Perkins before their later public ministry became nationally known.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/1.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",Perkins family; John M. Perkins; Vera Mae Perkins; family portrait; 1960,
SRM-2026-642,,coll606.png,"Flooded Voice of Calvary church building, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Faith And Community Life,"Jackson, Mississippi",20th century,Voice of Calvary Ministries,,undated,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Photograph of a Voice of Calvary church building surrounded by floodwater.,Documents the physical vulnerability of the ministry site and the material conditions faced by church-based community work in Jackson.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/2.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",Voice of Calvary; flood; church building; Jackson Mississippi; ministry,
SRM-2026-643,,coll607.png,"Residential building associated with the Perkins network, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Community and Professional Life,Geographies To Be Confirmed,20th century,,,undated,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Street view of a two-story stucco residence with parked cars in front.,Preserves the built environment associated with the Perkins collection and may relate to residential or hospitality space used in community work.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/3.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",residence; building; streetscape; Perkins collection,
SRM-2026-644,,coll608.png,"Portrait of John M. Perkins outdoors, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Portraiture and Community Memory,Geographies To Be Confirmed,20th century,John M. Perkins,,undated,black-and-white portrait photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Outdoor portrait of John M. Perkins smiling toward the camera.,Preserves a recognizable likeness of Perkins and supports biographical interpretation of his public and religious leadership.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/4.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",John M. Perkins; portrait; outdoors,
SRM-2026-645,,coll609.png,"Perkins family outdoor gathering, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Family And Local Life,Geographies To Be Confirmed,20th century,Perkins family members,,undated,color snapshot,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Color snapshot of family or friends seated together outdoors.,Documents informal gathering and everyday kinship around the Perkins family.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/5.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",family gathering; color snapshot; Perkins family,
SRM-2026-646,,coll610.png,"John and Vera Mae Perkins with companions indoors, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Family And Local Life,Geographies To Be Confirmed,20th century,John M. Perkins; Vera Mae Perkins; companions,,undated,color snapshot,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Indoor color snapshot showing John and Vera Mae Perkins with companions in conversation.,Adds informal social context to the collection and helps situate the Perkins family within wider friendship and support networks.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/6.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",John M. Perkins; Vera Mae Perkins; indoor gathering; color snapshot,
SRM-2026-647,,coll611.png,"Older couple seated outdoors, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Family And Local Life,Geographies To Be Confirmed,20th century,unidentified adults,,undated,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Photograph of an older couple seated outdoors near a building.,"Preserves family or community memory within the Perkins circle, even where identification remains to be confirmed.","Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/7.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",older couple; family memory; community portrait,
SRM-2026-648,,coll612.png,"Men seated on bundled goods, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Community and Professional Life,Geographies To Be Confirmed,20th century,unidentified men,,undated,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Group of men seated on sacks or bundled goods in an outdoor work setting.,"Documents labor, transport, or supply activity in the social world connected to the Perkins collection.","Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/8.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",labor; men; work scene; bundled goods,
SRM-2026-649,,coll613.png,"Pickup truck with riders, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Community and Professional Life,Geographies To Be Confirmed,20th century,unidentified adults,,undated,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Pickup truck carrying several riders through a rural or neighborhood setting.,"Captures mobility, work, and community travel within the documentary world preserved by this collection.","Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/9.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",pickup truck; transportation; community life,
SRM-2026-650,,coll614.png,"Group portrait of women and children, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Family And Local Life,Geographies To Be Confirmed,20th century,unidentified women; unidentified children,,undated,black-and-white group portrait,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Group portrait showing women and children posed together outside a building.,Documents intergenerational family and community relationships surrounding the Perkins family network.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/10.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",women; children; group portrait; family life,
SRM-2026-651,,coll615.png,"Man with horse-drawn cart, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Family And Local Life,Geographies To Be Confirmed,20th century,unidentified man,,undated,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Outdoor photograph of a man standing with a horse-drawn cart.,Preserves rural work and everyday transport imagery relevant to the Perkins family’s Mississippi context.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/11.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",horse; cart; rural life; transportation,
SRM-2026-652,,coll616.png,"Clasped hands detail, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Family And Local Life,Geographies To Be Confirmed,20th century,,,undated,black-and-white detail photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Close-up photograph of two hands clasped together.,"Offers an intimate visual fragment that may represent partnership, support, or kinship within the Perkins archive.","Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/12.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",hands; detail; kinship; support,
SRM-2026-653,,coll617.png,"Studio portrait of John M. Perkins and Vera Mae Perkins, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Portraiture and Community Memory,Geographies To Be Confirmed,late 20th century,John M. Perkins; Vera Mae Perkins,,undated,color studio portrait,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Formal studio portrait of John M. Perkins standing beside Vera Mae Perkins.,Preserves a later-life portrait of the couple at the center of the collection and supports biographical interpretation of their partnership.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/13.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",John M. Perkins; Vera Mae Perkins; couple portrait; studio portrait,
SRM-2026-654,,coll618.png,"John M. Perkins in panel discussion, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Civic Leadership,Geographies To Be Confirmed,20th century,John M. Perkins,,undated,color photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,John M. Perkins seated on a panel with other speakers at a public event.,Documents Perkins as a public intellectual and speaker in civic or religious discussion settings.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/14.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",John M. Perkins; panel discussion; public speaking,
SRM-2026-655,,coll619.png,"John M. Perkins and Vera Mae Perkins outdoors, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Family And Local Life,Geographies To Be Confirmed,20th century,John M. Perkins; Vera Mae Perkins,,undated,color snapshot,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Outdoor snapshot of John M. Perkins and Vera Mae Perkins standing together.,Documents the couple in an informal setting and reinforces the family-centered dimension of the collection.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/15.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",John M. Perkins; Vera Mae Perkins; outdoor portrait,
SRM-2026-656,,coll620.png,"Snapshot of John M. Perkins and Vera Mae Perkins indoors, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Family And Local Life,Geographies To Be Confirmed,20th century,John M. Perkins; Vera Mae Perkins,,undated,color snapshot,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Indoor snapshot showing John M. Perkins and Vera Mae Perkins standing together.,Adds informal household and family context to the Perkins collection.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/16.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",John M. Perkins; Vera Mae Perkins; indoor snapshot,
SRM-2026-657,,coll621.png,"John M. Perkins with an older companion outdoors, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Civic Leadership,Geographies To Be Confirmed,20th century,John M. Perkins; unidentified man,,undated,color snapshot,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Outdoor snapshot of John M. Perkins standing with an older companion.,"Documents Perkins within interpersonal networks that may include allies, supporters, or colleagues.","Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/17.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",John M. Perkins; companion; outdoor snapshot,
SRM-2026-658,,coll622.png,"John M. Perkins with an older companion at sunset, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Civic Leadership,Geographies To Be Confirmed,20th century,John M. Perkins; unidentified man,,undated,color snapshot,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,"Second outdoor snapshot of John M. Perkins with an older companion, taken in warm evening light.",Retains another view of Perkins within personal and intergenerational relationships.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/18.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",John M. Perkins; companion; snapshot,
SRM-2026-659,,coll623.png,"Rural church or ministry building, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Faith And Community Life,Geographies To Be Confirmed,20th century,,,undated,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Photograph of a modest wood-frame building likely used for church or ministry purposes.,Documents the kinds of small-scale religious or service buildings tied to the community world of the Perkins archive.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/19.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",church building; ministry; rural architecture,
SRM-2026-660,,coll624.png,"Early portrait of John M. Perkins, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Portraiture and Community Memory,Geographies To Be Confirmed,mid-20th century,John M. Perkins,,undated,black-and-white portrait photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Early portrait of John M. Perkins in a suit and tie.,Preserves a younger likeness of Perkins and supports chronological interpretation of his life and leadership.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/20.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",John M. Perkins; early portrait; suit,
SRM-2026-661,,coll625.png,"Second Perkins family outdoor gathering snapshot, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Family And Local Life,Geographies To Be Confirmed,20th century,Perkins family members,,undated,color snapshot,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,A second color snapshot of family or friends gathered outdoors.,Documents repeated informal family and friendship gatherings within the Perkins collection.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/21.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",family gathering; color snapshot; Perkins family,
SRM-2026-662,,coll626.png,"Adults walking beside a house, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Family And Local Life,Geographies To Be Confirmed,20th century,unidentified adults,,undated,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Photograph of adults walking beside a house and parked car.,Captures everyday movement through residential space and contributes to domestic context within the collection.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/22.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",house; walking; residential life,
SRM-2026-663,,coll627.png,"Woman collecting branches or fruit outdoors, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Family And Local Life,Geographies To Be Confirmed,20th century,unidentified woman,,undated,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Outdoor photograph of a woman reaching into a tree or thicket.,Documents everyday labor and subsistence activity within the family and local-life materials of the collection.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/23.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",woman; outdoor labor; tree; rural life,
SRM-2026-664,,coll628.png,"John M. Perkins with a youth, June 1965",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Family And Local Life,Geographies To Be Confirmed,1960s,John M. Perkins; unidentified youth,,1965-06,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Photograph labeled June 1965 showing John M. Perkins standing with a youth beside a house and parked car.,Provides a dated family or mentoring image from the mid-1960s and helps anchor the collection chronologically.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/24.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",John M. Perkins; youth; June 1965; family life,
SRM-2026-665,,coll629.png,"Group gathered near a car and roadside sign, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Community and Professional Life,Geographies To Be Confirmed,20th century,unidentified adults,,undated,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Small group gathered outdoors near a car and a sign.,"Documents travel, meeting, or roadside activity tied to the community world surrounding the Perkins collection.","Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/25.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",group; car; roadside; community life,
SRM-2026-666,,coll630.png,"Man leaning against a pickup truck, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Community and Professional Life,Geographies To Be Confirmed,20th century,unidentified man,,undated,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Portrait-like outdoor photograph of a man leaning against a pickup truck.,Preserves everyday mobility and work-associated portraiture within the Perkins archive.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/26.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",pickup truck; portrait; work life,
SRM-2026-667,,coll631.png,"Porch group portrait, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Family And Local Life,Geographies To Be Confirmed,20th century,unidentified adults,,undated,black-and-white group portrait,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Group portrait of adults seated and standing on a porch.,Documents household and neighborhood gathering space within the Perkins family network.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/27.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",porch; group portrait; family network,
SRM-2026-668,,coll632.png,"Group at Voice of Calvary sign, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Faith And Community Life,"Jackson, Mississippi",1970s,John M. Perkins; Voice of Calvary Ministries,,undated,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Group photograph posed beside a Voice of Calvary sign listing the Adults Bible Institute and Neighborhood Youth Club.,Directly documents ministry programming associated with Perkins and Voice of Calvary in Jackson.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/28.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",Voice of Calvary; John M. Perkins; youth club; Bible institute; Jackson Mississippi,
SRM-2026-669,,coll633.png,"Concrete blocks at church or ministry building, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Community and Professional Life,Geographies To Be Confirmed,20th century,,,undated,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Exterior photograph of a building with stacked concrete blocks in front.,"Suggests construction, repair, or expansion activity associated with ministry or community development work.","Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/29.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",construction materials; building; community development,
SRM-2026-670,,coll634.png,"Building facade with broken windows, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Community and Professional Life,Geographies To Be Confirmed,20th century,,,undated,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Upward view of a building facade with multiple broken windowpanes.,Documents the physical condition of the built environment within the social landscape preserved by the Perkins collection.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/30.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",building; broken windows; architecture,
SRM-2026-671,,coll635.png,"John M. Perkins speaking under a tent, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Civic Leadership,Geographies To Be Confirmed,20th century,John M. Perkins,,undated,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,John M. Perkins speaking from a microphone beneath a tent at an outdoor event.,"Preserves Perkins in a public-speaking role linked to civic, religious, or movement gatherings.","Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/31.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",John M. Perkins; speech; tent meeting; public event,
SRM-2026-672,,coll636.png,"Small frame house exterior, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Family And Local Life,Geographies To Be Confirmed,20th century,,,undated,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Exterior photograph of a modest frame house.,Documents the residential landscape surrounding the people and places preserved in the Perkins archive.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/32.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",house; residential architecture,
SRM-2026-673,,coll637.png,"Low-slung brick building under construction, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Community and Professional Life,Geographies To Be Confirmed,20th century,,,undated,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Exterior view of a low-slung brick building in a rough or unfinished landscape.,Documents building activity and the physical growth of institutional or community spaces connected to the Perkins network.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/33.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",building; construction; brick structure,
SRM-2026-674,,coll638.png,"Station wagon parked beside a building, undated",Photograph,Needs Review,John and Vera Mae Perkins Collection,,Community and Professional Life,Geographies To Be Confirmed,20th century,,,undated,black-and-white photograph,Needs Review,"Rights reserved, contact Smith Robertson",Review Before Public Display,TRUE,,Photograph of a station wagon or van parked near a building.,Adds visual evidence of vehicles and everyday logistics in ministry or community work.,"Imported from the January 1971 folder on August 1, 2026; provenance to be confirmed.","Imported from /Users/Birittany/Downloads/January 1971/34.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026.",station wagon; vehicle; building,
